(2020-12-01 16:00:20,047) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,048) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,048) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,049) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,049) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,049) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,050) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,050) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,050) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,051) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,052) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,052) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,053) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,054) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,054) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,054) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,055) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,055) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,055) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,056) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,056) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,056) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,056) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,057) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,057) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,057) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,057) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,057) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,058) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,058) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,058) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,058) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,059) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,059) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,059) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,059) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,059) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,060) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,060) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
